title,description,brand,model,price,price_cents,location,date,url,image_urls,condition
Hisense 55U71HQ 55” 4K ULED Smart TV – Top Zustand,"Ich verkaufe meinen Hisense 55U71HQ (55 Zoll) Smart TV in sehr gutem Zustand (wie neu, nur ca. 2...",Hisense,55U71HQ 55”,300 €320 €,30000,"10585 Charlottenburg
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (6 km)",,https://www.kleinanzeigen.de/s-anzeige/hisense-55u71hq-55-4k-uled-smart-tv-top-zustand/3358974426-175-3347,https://img.kleinanzeigen.de/api/v1/prod-ads/images/05/059b6731-996c-47e8-81a7-0ddc86269504?rule=$_2.AUTO,
"Samsung GU55AU8079U 138 cm (55"") LCD-TV mit LED-Technik","55 Zoll Smart-TV voll funktionsfähig in sehr gutem Zustand.

FESTPREIS = LETZTER PREIS! Nur...",Samsung,GU55AU8079U 138,200 €,20000,"14478 Potsdam
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (22 km)","Heute, 18:58",https://www.kleinanzeigen.de/s-anzeige/samsung-gu55au8079u-138-cm-55-lcd-tv-mit-led-technik/3368125834-175-7967,https://img.kleinanzeigen.de/api/v1/prod-ads/images/9e/9eda6ad4-9aea-4a26-89fa-42176504cfb6?rule=$_2.AUTO,
Samsung Smart TV 55 Zoll Modell UE55ES6100W,"Verkaufe meinen 55 Zoll Smart-TV Samsung
Modell; UE55ES6100 mit Standfuß.

Funktioniert alles,...",Samsung,55 UE55ES6100W,250 €,25000,"12359 Britz
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (18 km)","Heute, 18:04",https://www.kleinanzeigen.de/s-anzeige/samsung-smart-tv-55-zoll-modell-ue55es6100w/3368060629-175-27861,https://img.kleinanzeigen.de/api/v1/prod-ads/images/87/876a70c8-c9f5-4c64-8d16-b04b0c2c8f87?rule=$_2.AUTO,
SONY 4K 55 Zoll Smart TV mit Fernbedienung sehr guter Zustand,SONY 4K 55 Zoll Smart TV mit Fernbedienung sehr guter Zustand. Aufnahmefunktion wkan und lan...,Sony,4K 55,280 € VB,28000,"13507 Reinickendorf
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (4 km)","Heute, 18:02",https://www.kleinanzeigen.de/s-anzeige/sony-4k-55-zoll-smart-tv-mit-fernbedienung-sehr-guter-zustand/3368059076-175-3453,https://img.kleinanzeigen.de/api/v1/prod-ads/images/a7/a7e84203-ad01-437a-844a-338b199eedb6?rule=$_2.AUTO,
Sony 55KG8505,"55 Zoll 4K LED, 120 Hertz, MotionFlow oder XR Motion Clarity, 16:9 Seitenverhältnis, WLAN und...",Sony,55KG8505 55,200 €,20000,"14050 Charlottenburg
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (4 km)","Heute, 17:22",https://www.kleinanzeigen.de/s-anzeige/sony-55kg8505/3368006849-175-3338,https://img.kleinanzeigen.de/api/v1/prod-ads/images/6c/6c5bf4fc-f291-4e5d-8f73-34467afcee9c?rule=$_2.AUTO,
Philips 58 Zoll 4k Ultra HD smart TV 147 cm Diagonal,"Verkaufe meinen Philips Smart TV mit beeindruckender Bildqualität und modernen Features.

• 58 Zoll...",Philips,58 4k,239 €,23900,"10365 Lichtenberg
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (18 km)","Heute, 17:11",https://www.kleinanzeigen.de/s-anzeige/philips-58-zoll-4k-ultra-hd-smart-tv-147-cm-diagonal/3367993037-175-3545,https://img.kleinanzeigen.de/api/v1/prod-ads/images/07/07eb72e8-c899-43f9-9c67-becdf6703b60?rule=$_2.AUTO,
Smart TV UHD/HDR 4k von Samsung Crystal mit 65 Zoll,Verkaufe meinen gebrauchten Smart TV UHD/HDR 4k von Samsung Crystal mit 65 Zoll...,Samsung,65 UHD,335 € VB,33500,"13351 Reinickendorf
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (6 km)","Heute, 16:12",https://www.kleinanzeigen.de/s-anzeige/smart-tv-uhd-hdr-4k-von-samsung-crystal-mit-65-zoll/3367914420-175-3463,https://img.kleinanzeigen.de/api/v1/prod-ads/images/3d/3d0b0e0f-8692-4d60-80dc-bfd841aae738?rule=$_2.AUTO,
Hinsense TV 4K UHD-55 Zoll,"Zb Neuwertig inkl. OVP

Abholung heute 10825 Berlin Schöneberg",Unknown,UHD-55,129 € VB,12900,"10827 Schöneberg
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (11 km)","Heute, 15:24",https://www.kleinanzeigen.de/s-anzeige/hinsense-tv-4k-uhd-55-zoll/3367845268-175-3447,https://img.kleinanzeigen.de/api/v1/prod-ads/images/66/66c714db-cdc3-4841-95cf-a23939cbda1f?rule=$_2.AUTO,
"Sony KD-55X8505B 55"" 4K QDLED","Ich verkaufe meinen Sony KD-55X8505B in voll funktionsfähigem Zustand.

Das Gerät wurde sehr...",Sony,"55X8505B 55""",166 €320 €,16600,"10439 Prenzlauer Berg
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (12 km)","Heute, 15:10",https://www.kleinanzeigen.de/s-anzeige/sony-kd-55x8505b-55-4k-qdled/3350432877-175-3490,https://img.kleinanzeigen.de/api/v1/prod-ads/images/f8/f8637718-81c8-44d8-a6dc-56c9c50fe15f?rule=$_2.AUTO,
Philips 55 Zoll QLED 4K TV mit Ambilight +Garantie 1.1.27,"Verkaufe meinen Philips 55 Zoll QLED 4K
Ultra HD Fernseher mit der tollen Ambilight-Funktion. (
Der...",Philips,55 QLED,350 €,35000,"13125 Weissensee
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (19 km)","Heute, 14:55",https://www.kleinanzeigen.de/s-anzeige/philips-55-zoll-qled-4k-tv-mit-ambilight-garantie-1-1-27/3367812121-175-9656,https://img.kleinanzeigen.de/api/v1/prod-ads/images/db/db749c5e-f25c-499f-8c69-117a7ecbd2ce?rule=$_2.AUTO,
65 Zoll Sony Bravia Smart TV,"Hallo,
Verkaufe einen 65 Zoll Sony Fernseher in sehr gutem Zustand.

Nur Abholung. Privatverkauf,...",Sony,65,320 €,32000,"12629 Hellersdorf
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (24 km)","Heute, 14:15",https://www.kleinanzeigen.de/s-anzeige/65-zoll-sony-bravia-smart-tv/3367767022-175-3515,https://img.kleinanzeigen.de/api/v1/prod-ads/images/fd/fd39a7ef-f2ed-4a48-8ea7-fd91daab8036?rule=$_2.AUTO,
Samsung SMART TV 65 Zoll 165 cm Ultra-Hd 4K,"Wir verkaufen unseren voll funktionsfähigen Smart TV/ Fernseher von Samsung

65 Zoll 165 cm in...",Samsung,SMART 65,330 €,33000,"10245 Friedrichshain
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (16 km)","Heute, 14:04",https://www.kleinanzeigen.de/s-anzeige/samsung-smart-tv-65-zoll-165-cm-ultra-hd-4k/3367755265-175-3352,https://img.kleinanzeigen.de/api/v1/prod-ads/images/3a/3af73e09-a4ee-4936-956d-e9b5f34ed327?rule=$_2.AUTO,
Samsung Smart TV UE55H6270SS – 55 Zoll – sehr guter Zustand,Ich verkaufe einen Samsung Smart TV UE55H6270SS mit 55 Zoll Bildschirmdiagonale. Der Fernseher...,Samsung,UE55H6270SS 55,169 €,16900,"13086 Weissensee
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (14 km)","Heute, 11:56",https://www.kleinanzeigen.de/s-anzeige/samsung-smart-tv-ue55h6270ss-55-zoll-sehr-guter-zustand/3367618056-175-3478,https://img.kleinanzeigen.de/api/v1/prod-ads/images/17/17a11b60-2294-42e6-b3dd-135a7a3f7f5a?rule=$_2.AUTO,
LG 55 Zoll 4k Ultra HD smart TV top Zustand 140 cm Diagonal,"LG 55 Zoll 4k Ultra HD smart TV top Zustand
Funktioniert sehr gut ohne Probleme
Kann gerne vor Ort...",LG,55 4k,230 €,23000,"10365 Lichtenberg
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (18 km)","Heute, 11:23",https://www.kleinanzeigen.de/s-anzeige/lg-55-zoll-4k-ultra-hd-smart-tv-top-zustand-140-cm-diagonal/3367582939-175-3545,https://img.kleinanzeigen.de/api/v1/prod-ads/images/5f/5fb5bc20-198e-4901-9de0-81a69ef510a7?rule=$_2.AUTO,
Smart TV - Panasonic 65 zoll,Ich verkaufe meinen Panasonic 65-Zoll-Fernseher in sehr gutem Zustand. Kann vor Ort getestet...,Panasonic,65 65,230 € VB,23000,"15711 Königs Wusterhausen
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                            
                                (ca. 30 km)","Heute, 10:29",https://www.kleinanzeigen.de/s-anzeige/smart-tv-panasonic-65-zoll/3367529843-175-19878,https://img.kleinanzeigen.de/api/v1/prod-ads/images/38/38d25a4e-4fea-45a9-b768-10674b712328?rule=$_2.AUTO,
Smart TV 4K UHD 55 Zoll,Ich verkaufe meinen Sharp Fernseher in sehr gutem Zustand. Der Fernseher hat einen großen 55 Zoll...,Unknown,55,220 €,22000,"13585 Spandau
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (2 km)","Heute, 09:44",https://www.kleinanzeigen.de/s-anzeige/smart-tv-4k-uhd-55-zoll/3367493539-175-3438,https://img.kleinanzeigen.de/api/v1/prod-ads/images/fb/fb30f525-73ad-4b16-9ab3-d5d1169350dd?rule=$_2.AUTO,
TCL 65 Zoll 165 cm Android 4K Smart TV UHD Fernseher  JBL TOPBild,"Hallo,

verkauft wird ein gebrauchter 65 Zoll 4K Smart TV der Marke TCL. Der Fernseher befindet...",TCL,65 165,350 €380 €,35000,"12619 Hellersdorf
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (24 km)","Heute, 09:22",https://www.kleinanzeigen.de/s-anzeige/tcl-65-zoll-165-cm-android-4k-smart-tv-uhd-fernseher-jbl-topbild/3367478933-175-3511,https://img.kleinanzeigen.de/api/v1/prod-ads/images/70/704b0d44-9efd-443a-ae8f-17586df73b30?rule=$_2.AUTO,
Hisense 55U7KQ 55 Zoll 4K ULED Smart TV - 144Hz Gaming,"Hisense 55U7KQ - 55 Zoll Premium Smart TV, kaum benutzt, wie neu.

Das kann der Fernseher:
- 4K...",Hisense,55U7KQ 55,320 € VB,32000,"10178 Mitte
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (12 km)","Gestern, 22:57",https://www.kleinanzeigen.de/s-anzeige/hisense-55u7kq-55-zoll-4k-uled-smart-tv-144hz-gaming/3367378702-175-3522,https://img.kleinanzeigen.de/api/v1/prod-ads/images/f2/f22da926-75bb-41e5-95b5-3098f38ebee2?rule=$_2.AUTO,
Hinsense TV-UHD 4K- 6 Series 55 ZOLL,"ich verkaufe mein Hinsense TV-UHD 4K, Fernseher 55 Zoll.

Der Fernseher verfügt über einen...",Unknown,55,237 € VB279 €,23700,"10825 Schöneberg
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (10 km)","Gestern, 21:35",https://www.kleinanzeigen.de/s-anzeige/hinsense-tv-uhd-4k-6-series-55-zoll/3367323270-175-3449,https://img.kleinanzeigen.de/api/v1/prod-ads/images/46/46a8580a-a6b1-423a-8fcc-c5c41190db12?rule=$_2.AUTO,
Fernseher TCL 55 Zoll,Fernsehen in einem einwandfreien Zustand zu verkaufen. Bei Interesse gerne melden,TCL,55,199 € VB,19900,"12347 Neukölln
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (17 km)","Gestern, 20:49",https://www.kleinanzeigen.de/s-anzeige/fernseher-tcl-55-zoll/3367279594-175-3389,https://img.kleinanzeigen.de/api/v1/prod-ads/images/2c/2cbb8f5f-376f-4f9d-97ce-5749b0cf39df?rule=$_2.AUTO,
Smart TV 4K UHD 55 Zoll,Ich verkaufe meinen Sharp Fernseher in sehr gutem Zustand. Der Fernseher hat einen großen 55 Zoll...,Unknown,55,230 €,23000,"14052 Westend
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (4 km)","Gestern, 19:51",https://www.kleinanzeigen.de/s-anzeige/smart-tv-4k-uhd-55-zoll/3367212983-175-25908,https://img.kleinanzeigen.de/api/v1/prod-ads/images/1c/1c5a63bf-e5a1-45db-b8aa-bfa1fb0ce790?rule=$_2.AUTO,
TV Fernseher 55 Zoll,"Tv Fernseher 55 Zoll

Es funktioniert einwandfrei. Ich habe nur die Fernbedienung verloren.",Unknown,55,150 € VB,15000,"13585 Spandau
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (2 km)","Gestern, 19:37",https://www.kleinanzeigen.de/s-anzeige/tv-fernseher-55-zoll/3367194732-175-3438,https://img.kleinanzeigen.de/api/v1/prod-ads/images/29/295be01f-873f-452b-be3f-e1b2382c44a7?rule=$_2.AUTO,
Samsung 65 Zoll 4K Ultra HD Smart-TV,"Samsung 65 Zoll 4K Ultra HD Smart-TV

Model: Samsung UE65JU7090T

Der Fernseher ist in einem...",Samsung,65 4K,320 €,32000,"13587 Spandau
                    
                    
                    
                        
                            
                            
                                
                            
                        
                        
                            
                                (4 km)","Gestern, 18:13",https://www.kleinanzeigen.de/s-anzeige/samsung-65-zoll-4k-ultra-hd-smart-tv/3367068696-175-3436,https://img.kleinanzeigen.de/api/v1/prod-ads/images/01/01baec24-3ba7-4f6a-98f1-4a98a8c797a3?rule=$_2.AUTO,
